source,Rating,ReviewText,PUBLISH_TS,organisation
google,3 stars,,2020-01-18 15:03:56.791524,ibis saint martin
google,5 stars,"Good hotel, not close to the sites of interest, but it is very easy to move in the subway, for a nearby station, good price.",2020-01-18 15:03:56.791590,ibis saint martin
google,5 stars,Nice budget hotel for your stay in Paris..,2020-09-19 15:03:56.791618,ibis saint martin
google,5 stars,"I was in Paris from 8 to 13 August at this facility. I had a great time, clean room not too big but just right for two people. Friendly and polite staff .... thanks in particular to Simona, very kind, nice and very helpful !!! Thanks so much, we would happily!",2019-01-18 15:03:56.791656,ibis saint martin
google,1 stars,"I stayed there for 3 nights. Besides the poor quality of the mattresses, the last night there was work, the sound of a jackhammer under my window all night. I slept 2 hours ... When I complained, you explained to me that it was not your fault ... Certainly. But it's not mine either. I would have appreciated a gesture from you, however small, but when you don't have the commercial flair ... You lose customers. I have to come back to Paris in two weeks and despite the practicality of the place compared to my appointments, you can be sure that I will not come back ....",2020-08-20 15:03:56.791677,ibis saint martin
google,1 stars,Attention half mouth. Very expensive room. Tiny room. No fridges in the rooms.,2020-01-18 15:03:56.791703,ibis saint martin
google,4 stars,,2020-01-18 15:03:56.791725,ibis saint martin
google,4 stars,"Very clean,good breakfast,comfort room,many restauran around,and friendly staf..👍👍",2020-01-18 15:03:56.791848,ibis saint martin
google,5 stars,,2020-01-18 15:03:56.791871,ibis saint martin
google,2 stars,,2019-01-18 15:03:56.791889,ibis saint martin
google,4 stars,,2020-01-18 15:03:56.791906,ibis saint martin
google,,The staff is nice and the room is comfy not too small. One more trash bin would be nice . Not so many amenities in room. I think it would be typical EU hotel. The area around the hotel is what we concern whether we should return. There are …,2020-01-18 15:03:56.791922,ibis saint martin
google,2 stars,Very small rooms,2020-01-18 15:03:56.791941,ibis saint martin
google,,Hotel ben curato e sito in una zona strategica per i servizi e i mezzi pubblici raggiungibili a pochi passi. Visited in July 2019,2020-01-18 15:03:56.791957,ibis saint martin
google,,"Ich hab das Hotel gewählt, weil ich vom Ostbahnhof in 5-10 Minuten hinlaufen kann. Sauberes Hotel, kleines Zimmer aber zum schlafen absolut ausreichend. Preis ok.Würde es jederzeit wieder buchen.",2019-01-18 15:03:56.791973,ibis saint martin
google,5 stars,Small rooms but very clean and pretty,2020-01-18 15:03:56.791992,ibis saint martin
google,4 stars,Good clean property but overlooks busy street. The breakfast is very good the pastries are very successful.,2020-01-18 15:03:56.792009,ibis saint martin
google,,Hotel 3 estrellas muy aceptable. Modernas instalaciones. Atención buena y agradable. Desayuno aceptable aunque escaso si se compara con Novotel. La habitación cuádruple situada el la última planta muy bonita y amplia aunque para llegar hay … Visited in December 2019,2020-01-18 15:03:56.792028,ibis saint martin
google,,"Die Zimmergröße war ok, nur das Badezimmer ist sehr klein!",2020-01-18 15:03:56.792046,ibis saint martin
google,4 stars,Petit dej at the top!,2020-01-18 15:03:56.792064,ibis saint martin
google,5 stars,,2020-01-18 15:03:56.792082,ibis saint martin
google,,"Reservierung über Webseite klemmte, anschließend Buchung per Telefon Visited in February 2020",2020-03-23 15:03:56.792099,ibis saint martin
google,5 stars,I do not really know but I love it here,2020-01-18 15:03:56.792119,ibis saint martin
google,1 stars,"Staff not attentive to customer requests! When you are promised a room facing the courtyard and you have one facing the street when your colleague who arrived later obtains a courtyard facing one even though he has not asked for anything, you wonder if they are not doing it. on purpose ! !!!!! Bathroom too small and a tall person has a hard time accessing the toilet!",2020-01-18 15:03:56.792144,ibis saint martin
google,3 stars,,2020-08-20 15:03:56.792170,ibis saint martin
google,5 stars,,2019-01-18 15:03:56.792188,ibis saint martin
google,3 stars,,2020-03-23 15:03:56.792208,ibis saint martin
google,4 stars,"Clean hotel, good breakfast, very kind staff and speaks Italian, very good location to move to the center of Paris",2020-01-18 15:03:56.792230,ibis saint martin
google,4 stars,,2020-01-18 15:03:56.792247,ibis saint martin
google,3 stars,Hotel nice and clean. Service ok,2020-01-18 15:03:56.792267,ibis saint martin
google,1 stars,,2020-01-18 15:03:56.792284,ibis saint martin
google,4 stars,,2020-01-18 15:03:56.792363,ibis saint martin
google,4 stars,The hotel itself is really nice if you want a quick break and explore the city. The room is tastefully decorated with a modern theme and we hsd a nice view of the basilicca in the distance. The staff were friendly and printed some tickets for us. The staff spike good english and were happy to help. The room was a little small but was clean and had everything that was needed. The location is not quite as nice. There are a lot of homeless people and the canal smells like urine in some places where they gather. Did not have any problems with them but did feel a little uncomfortable. With this said it is great to see different parts of the city and the location is near many metro stations making it easy to explore on all metro lines. Just research the area before you stay. The hotel is nice and didnt have any problems but make sure it is right for your stay.,2019-01-18 15:03:56.792381,ibis saint martin
google,4 stars,,2020-01-18 15:03:56.792456,ibis saint martin
google,5 stars,,2020-01-18 15:03:56.792476,ibis saint martin
google,,Gran lugar fácil transportación muy buenos los cuartos limpios modernos y funcionales el personal muy atento y serviciales,2020-01-18 15:03:56.792493,ibis saint martin
google,5 stars,Comfortable and calm,2019-01-18 15:03:56.792511,ibis saint martin
google,,"The hotel was clean and cute, and the room was a decent size for the price (NOT easy to find in Paris). The location is not super close to many tourist attractions that are centrally located, but it is not a far walk to the Sacre Couer …",2019-01-18 15:03:56.792528,ibis saint martin
google,5 stars,"All you need for your stay in Paris. Good location, simple and cozy. Super clean",2020-01-18 15:03:56.792547,ibis saint martin
google,,La chambre était agréable et assez grande pour 4 personnes (2 adultes et 2 enfants). L'accueil était professionnel et nous avons toujours eu un interlocuteur … Visited in December 2020,2021-01-03 15:03:56.792563,ibis saint martin
google,,Zimmer klein aber fein. Alles sehr sauber! Frühstück war lecker. Personal freundlich. … Visited in August 2020,2020-09-19 15:03:56.792581,ibis saint martin
google,4 stars,,2019-01-18 15:03:56.792598,ibis saint martin
google,3 stars,,2020-01-18 15:03:56.792614,ibis saint martin
google,3 stars,Small and expensive. But hey .. it's Paris ..,2020-01-18 15:03:56.792630,ibis saint martin
google,5 stars,Ibis classic. Perfect for sleeping comfortably. 15 minute walk from the Gare du Nord.,2020-02-22 15:03:56.792647,ibis saint martin
google,4 stars,"Nice hotel inside but does not look much on the outside, fully air conditioned ☺ what happiness in summer.",2020-08-20 15:03:56.792669,ibis saint martin
google,4 stars,"Very nice hotel, well located, clean. The rooms are nice, the WIFI is efficient, it may lack a minibar. RAS breakfast.",2020-09-19 15:03:56.792687,ibis saint martin
google,5 stars,Very nice place to visit Paris,2020-01-18 15:03:56.792705,ibis saint martin
google,5 stars,"Well served, standard and well located.",2020-03-23 15:03:56.792723,ibis saint martin
google,,We had a lovely stay. The hotel staff are charming and friendly; the room clean and the breakfast good. The area around the hotel has many nice bars and places to eat and lots to see. Visited in January 2020,2020-02-22 15:03:56.792739,ibis saint martin
google,2 stars,A place of processing.,2020-01-18 15:03:56.792758,ibis saint martin
google,4 stars,,2020-12-18 15:03:56.792774,ibis saint martin
google,,"L hotel risiede in un ottima posizione, custumer service buona ,stanze piccole ma di style ed accoglienti,la colazione ben assortita. Mi sono sentita coccolata e seguita. Lo consiglio. Visited in March 2020",2020-03-23 15:03:56.792791,ibis saint martin
google,5 stars,,2019-01-18 15:03:56.792808,ibis saint martin
google,3 stars,Good,2019-01-18 15:03:56.792827,ibis saint martin
google,4 stars,,2020-08-20 15:03:56.792846,ibis saint martin
google,,The hotel was great if you want access to the Gare du Nord or Gare de l’Est both of which are within walking distance. The room was comfortable and while not overly spacious was well laid out and the bathroom was good. I’ve seen some comments on here about water pressure but it wasn’t a problem for me on the 4th floor.,2020-01-18 15:03:56.792930,ibis saint martin
google,5 stars,Very well located. Correct price,2019-01-18 15:03:56.792950,ibis saint martin
google,,Emplacement ideal. Chambre correcte et propre. Personnel agréable.,2020-09-19 15:03:56.792967,ibis saint martin
google,4 stars,,2020-01-18 15:03:56.792984,ibis saint martin
google,5 stars,,2019-01-18 15:03:56.793000,ibis saint martin
google,2 stars,,2020-01-18 15:03:56.793016,ibis saint martin
google,5 stars,,2020-01-18 15:03:56.793033,ibis saint martin
google,4 stars,Good location,2020-01-18 15:03:56.793050,ibis saint martin
google,,"Very quiet hotel even though on a busy street. Friendly and efficient staff. The room was newly decorated and super clean. The area around Canal St Martin is vibrant and has many bars and restaurants. Hotel is about 15 minutes walk from Gare du Nord. Good value for money. I was in Paris on business, I will definitely stay here again.",2020-01-18 15:03:56.793065,ibis saint martin
google,4 stars,Room # 1 newly renovated and perfect for a family of 4 or 5. Large TV. Very nice home; the girl is well received and well advised.,2019-01-18 15:03:56.793083,ibis saint martin
google,5 stars,"Great spacy room, clean. Check in a bit long, easy check out. Didn't have time for breakfast but their prices seemed high anyway.",2020-01-18 15:03:56.793099,ibis saint martin
google,5 stars,,2020-01-18 15:03:56.793115,ibis saint martin
google,5 stars,Nice place in central Paris,2019-01-18 15:03:56.793131,ibis saint martin
google,5 stars,,2020-01-18 15:03:56.793148,ibis saint martin
google,3 stars,,2020-01-18 15:03:56.793164,ibis saint martin
google,4 stars,,2019-01-18 15:03:56.793181,ibis saint martin
google,4 stars,Friendly welcome Excellent cleanliness,2020-02-22 15:03:56.793222,ibis saint martin
google,4 stars,,2019-01-18 15:03:56.793242,ibis saint martin
google,5 stars,Great hotel very quiet with a nice team ... Well located near the canal St Martin and metro. Mention also for breakfast,2020-01-18 15:03:56.793260,ibis saint martin
